Post,Sentiment,Matched Phobias,Matched Keyword
"﻿likes the sound of thunder.",Positive,"",""
"is so sleepy it's not even funny that's she can't get to sleep.",Negative,"",""
"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3",Negative,"",""
"likes how the day sounds in this new song.",Positive,"",""
"is home. <3",Neutral,"",""
"www.thejokerblogs.com",Neutral,"",""
"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party.",Negative,"",""
"is in Kentucky. 421 miles into her 1100 mile journey home.",Negative,"",""
"was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.",Neutral,"",""
"is celebrating her new haircut by listening to swinger music and generally looking like a doofus.",Negative,"",""
"has a crush on the Green Lantern.",Neutral,"",""
"has magic on the brain.",Neutral,"",""
"saw Transformers, Up, and Year One this week. Good movie overload. :D",Positive,"",""
"Who wants to meet up on schedule pick-up day at Oviedo?",Neutral,"",""
"desires the thrill of inspiration. Also, money.",Positive,"",""
"is going to bed at 9:30! Yeah!",Neutral,"",""
"is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform.",Positive,"",""
"thinks intangibility should be an option in reality settings.",Negative,"",""
"is tired. *PROPNAME*, let me go to sleep pl0x.",Negative,"",""
"is discovering the many flavors of insomnia.",Negative,"",""
"is watching cousin play computer game on televison box thing. Also, sleepy.",Positive,"",""
"Why is it I'm only getting the urge to draw when I have stuff to do for school? D;",Negative,"",""
"Who'da thought a single text message could be enough to change my mind?",Neutral,"",""
"wishes to develop a super power that prevents her from needing to sleep.",Negative,"",""
"TELL ME WHAT TO DRAW, PLOX.",Negative,"",""
"found a bunny, bunny died, buried bunny, now is drawing.",Negative,"",""
"<3",Neutral,"",""
"is just about insane by now.",Neutral,"",""
"wants to sleep eight hours tonight. And so she shall.",Negative,"",""
"really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness.",Negative,"",""
"has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store.",Neutral,"",""
"loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!",Negative,"",""
"can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :(",Negative,"",""
"should spend less time writing chapters for the story she'll never finish, and try reading more books. Preferably, during the daytime, and not at 3:00 AM.",Negative,"",""
"is watching kid's cartoons and wishing she weren't so old.",Negative,"",""
"has work tomorrow, and hopes they teach her how to use the cash register. :D",Negative,"",""
"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons.",Positive,"",""
"has a really confusing internal dilemma. She also wonders if anyone can guess what it is.",Positive,"",""
"thinks she needs to stop leaving so many pictures half-done before getting new ideas.",Negative,"",""
"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition.",Negative,"",""
"is seeing 9 tonight... maybe?",Negative,"",""
"is going to work on comics, then crash into her futon with all the love unconsciousness deserves.",Positive,"",""
"WEEKEND. I LOVE YOU.",Neutral,"",""
"is listening to Relient K and thinking about plants, lawyers, and internships.",Negative,"",""
"is drawing instead of homeworking. :| This is fun, but not good.",Neutral,"",""
"will sleep like a champion tonight.",Negative,"",""
"dishes, webcomics, laziness, internal lack of disruption. Alright.",Negative,"",""
"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)",Negative,"",""
"has a magical ceiling.",Positive,"",""
"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep.",Negative,"Nyctophobia,","night,"
"got taught how to use the register (<3!!!~), enjoyed (500) Days of Summer, and is looking forward to going to the beach Monday.",Positive,"",""
"hates FML on principle.",Neutral,"",""
"realizes traditional media hate her and has shunned her penvcils in favor of the tablet. That'll learn 'em.",Negative,"",""
"was all prepared to do her weekend homeowrk the morning it was due, but realized she left the necessary binder at school. FFFFFFFFFFFFF-",Negative,"",""
"has early work blargedy-argdey-blah. Minimuuum waaaage, I looove youuu.",Positive,"",""
"Far away // This ship has taken me so far away... Goshdarnit, Muse, stop being so awesome.",Negative,"",""
"is a little excited to see the talent show.",Positive,"",""
"is tired. She would sleep, but there's a cat on her desk that requires supervision.",Negative,"",""
"I don't hate you.// Well, you found me. Congratulations. Was it worth it?// The only thing you've managed to break so far is my heart.// This isn't brave. It's murder.// What did I ever do to you?// You don't care, do you.// Please proceed to Andorid Hell.",Positive,"",""
"needs a stupid, fluffy book to read inbetween experiences of normalcy.",Negative,"",""
"will be up very late so she can ride with her dad to the airport to pick up her mamacita from a (as of now) 11:20 PM landing in from Illinois.",Negative,"",""
"IS IN COMPLETE LOVE WITH THE BLACKBERRY HER MOM JUST SURPRISED HER WITH. AND YES. SHE IS SO EXCITED, THAT CAPS ARE COMPLETELY NECESSARY. <3 <3 <3 <3 <3<3",Negative,"",""
"is looking forward to early January. Not the birthday per se, but the potential to meet a good friend. :)",Negative,"",""
"needs to stop listening to her normal playlist if she wants to stop waking up feeling like she's missed something big.",Negative,"",""
"spews toxic gas into your personal air bubble. It's super effective!",Negative,"",""
